id,y_2000,y_2010,y_2020
644,20,351,369
645,46,406,327
646,33,339,209
647,145,119,420
648,228,382,482
649,140,170,121
650,186,200,477
651,323,83,114
652,252,173,105
653,108,309,425
654,220,259,404
655,369,355,471
656,171,291,104
657,99,237,107
658,318,396,489
659,44,383,98
660,325,101,360
661,417,124,228
662,189,88,310
663,363,226,438
664,229,430,311
665,372,193,72
666,295,500,82
667,395,480,227
668,49,376,212
669,225,432,477
670,384,369,129
671,324,228,410
672,30,334,54
673,37,115,336
674,163,154,155
675,395,474,330
676,408,324,476
677,333,207,368
678,414,51,315
679,443,170,187
680,429,361,496
681,390,280,23
682,86,93,117
683,399,91,52
684,130,374,369
