id,y_1999,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021
382,2269,2583,2843,2796,3214,3161,3182,3404,3359,3818,4363,4818
383,5600,6240,6192,6039,6722,7330,7330,8159,8487,8697,8421,9063
381,7542,7391,8386,8477,8216,9221,9119,9161,8851,9233,9960,11398
384,1044,1048,1050,1169,1124,1221,1306,1500,1674,1711,1656,1691
391,1536,1550,1486,1506,1622,1799,1956,2062,2159,2263,2197,2438
393,9914,10270,10098,11539,11454,12498,13974,13968,14501,15002,16305,17973
390,2882,2913,2903,2900,2792,2909,2903,2837,2895,3300,3210,3056
392,3253,3652,4036,4028,4506,5060,5126,5297,5423,6019,6830,7251
398,5844,6679,6464,6567,6597,7253,7626,7287,7849,8914,9490,10389
404,7275,8193,8853,9936,11060,11916,11874,13453,14177,13646,15214,15370
401,6313,7038,6837,7036,7221,8198,8485,9301,10591,10915,10388,10585
399,6083,6629,6429,6112,6084,6406,6545,6762,6552,6777,7600,7404
402,4435,5055,5291,5445,5590,5324,5908,6663,6542,7450,8029,8019
400,7817,8459,9662,9624,10813,11425,11605,13344,13999,15822,15852,15709
403,6120,6548,7036,7945,9013,9810,10326,11703,12058,12810,13848,13349
373,4946,5531,5597,5341,5932,6613,6553,7120,6809,7675,7892,8484
371,3730,4064,4414,4385,4748,5195,5676,5756,5802,5712,5513,5522
372,7487,7155,6853,7282,7761,7737,7954,8209,8053,8914,9359,10269
374,9805,10208,11042,12481,12072,11503,11342,12109,13729,13170,13154,15018
375,2697,2613,2859,3063,3321,3690,3861,4339,4584,5217,5311,5788
389,4579,4928,5227,5478,5337,6018,6792,7740,8482,8640,8276,8606
387,9813,10155,11098,12544,14254,13908,13327,14970,14583,14964,14855,15142
386,1057,1136,1285,1275,1240,1253,1357,1429,1482,1577,1751,1949
388,4675,4665,4687,5297,5705,6235,6558,7346,8379,9311,10462,10733
385,2782,3119,3100,3193,3272,3251,3693,4151,4179,4588,4636,4790
394,1549,1482,1606,1825,1841,2090,2243,2485,2844,2953,3393,3850
395,1645,1754,1844,1815,1961,2090,2264,2476,2844,2921,2966,2900
396,4674,5032,5301,5657,5976,5964,6092,6520,6991,7016,6821,7317
397,8901,9379,10484,10334,9826,10628,10130,10945,12503,12759,13841,15841
410,5684,5792,5524,5886,5928,6669,7164,7776,7779,7688,8436,9296
406,5028,5273,5376,5244,5920,6564,7061,8002,8762,8337,8779,9342
407,8941,8848,8648,9603,9554,10740,11476,11628,13167,12554,13343,12917
405,9368,9108,10119,11068,12286,12081,13497,13127,12708,13042,14825,15385
408,6970,7305,7595,8571,8652,9050,8734,8952,9698,11150,11682,11692
409,8984,8932,8775,8839,10111,10648,11191,11441,12403,11971,13571,14552
999,2465,2394,2681,2633,2756,3155,3207,3584,4000,3881,3756,3617
379,2222,2203,2362,2390,2289,2184,2165,2059,2360,2684,2573,2795
380,3830,3878,3772,4225,4495,4601,4482,4485,4536,4655,5251,5170
378,2623,2580,2839,2913,3096,3361,3217,3245,3097,3106,3110,3093
377,7879,8143,8082,8869,8968,9455,9788,11140,12067,13110,14812,15972
376,8181,8796,9207,10423,11686,12114,11844,11393,11488,11756,12562,12768
