id,y_2016,y_2017,y_2018,y_2019
644,332,196,168,13
645,207,159,53,169
646,33,439,160,242
647,192,485,273,169
648,103,323,382,270
649,128,375,20,289
650,209,311,384,156
651,375,468,287,249
652,420,52,388,218
653,279,83,173,354
654,423,184,12,71
655,63,238,495,306
656,112,326,429,434
657,96,435,488,331
658,71,119,314,424
659,463,28,348,411
660,412,66,367,441
661,313,361,467,328
662,478,334,398,337
663,299,55,32,488
664,14,294,429,434
665,456,90,207,48
666,445,463,366,341
667,431,275,82,190
668,275,61,375,55
669,358,168,324,329
670,305,67,459,312
671,303,72,235,328
672,350,165,168,456
673,399,380,390,81
674,309,375,86,496
675,105,250,83,216
676,448,118,72,462
677,257,63,210,494
678,497,213,422,169
679,283,221,114,127
680,373,99,95,180
681,157,427,116,309
682,414,348,492,324
683,498,430,258,298
684,488,432,296,136
