id,y_2011,y_2013,y_2015,y_2016,y_2020
644,74,190,50,409,490
645,139,159,490,21,72
646,148,183,429,59,428
647,370,190,391,372,184
648,39,423,236,183,102
649,232,365,296,478,166
650,65,433,227,119,261
651,406,349,364,319,466
652,346,311,320,486,318
653,331,219,400,320,309
654,366,24,140,19,229
655,411,329,262,354,163
656,425,459,39,320,98
657,376,193,429,452,94
658,152,45,21,94,233
659,433,181,208,430,84
660,379,485,423,253,341
661,358,326,16,86,378
662,117,110,434,59,311
663,16,400,97,468,413
664,336,416,250,309,495
665,449,353,218,125,320
666,181,431,84,41,494
667,44,391,107,317,113
668,28,423,285,242,407
669,233,487,98,16,234
670,246,376,267,85,307
671,353,18,443,437,64
672,237,140,438,270,265
673,414,324,123,304,170
674,349,453,93,191,421
675,432,126,487,470,301
676,389,176,289,53,393
677,482,391,399,190,171
678,163,250,261,197,478
679,109,448,493,495,108
680,131,281,84,133,83
681,306,92,141,35,295
682,300,233,263,351,239
683,486,42,343,447,166
684,380,451,424,240,32
