id,y_1999,y_2019
382,9737,9318
383,1189,1163
381,4483,4300
384,5531,6096
391,7178,7165
393,1168,1231
390,3298,3717
392,2857,3043
398,8629,8485
404,3499,3718
401,7372,8386
399,2004,2216
402,1986,1983
400,5518,5512
403,7525,7214
373,4417,4209
371,4119,4574
372,4274,4582
374,9492,10116
375,4177,4316
389,1494,1593
387,1956,2051
386,6903,7702
388,1766,1912
385,3036,3371
394,9567,10367
395,3401,3324
396,2800,2846
397,9509,10263
410,8954,9088
406,4785,5386
407,7338,7693
405,6995,7211
408,8431,9433
409,6733,6923
999,6214,6168
379,4989,5549
380,9199,9367
378,6487,6292
377,9780,9505
376,9776,11033
