id,y_1999,y_2013,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020
382,6464,6148,6830,6523,6288,6299,6946,7831
383,4588,5045,5566,5818,5755,6399,6080,6075
381,6020,5929,5929,6767,6808,7319,7557,7429
384,1253,1350,1303,1382,1527,1521,1456,1512
391,3277,3145,3428,3470,3467,3628,3957,3993
393,3072,3502,3345,3831,3904,3871,3998,4107
390,1573,1509,1557,1589,1672,1850,1986,2015
392,8631,9413,8993,8929,9270,10558,11198,10833
398,7600,7450,8156,7916,8840,9812,10034,10467
404,7758,8206,8082,8616,9471,10747,12007,13700
401,5174,5364,5241,5447,5623,6371,6345,6328
399,7650,8025,9105,8865,8791,9765,9277,8885
402,4084,4224,4698,4550,4963,5275,5334,5585
400,6563,6598,6455,6330,7166,7225,7803,8879
403,3404,3664,3546,3378,3254,3636,3927,3997
373,4809,4838,5167,5133,5125,4894,4938,5140
371,9142,9274,10017,11133,12221,13275,15042,16916
372,1606,1542,1520,1747,1728,1678,1735,1731
374,5993,6420,7047,6985,7353,8010,7677,7615
375,3045,3217,3370,3672,3931,4322,4388,4593
389,8560,9501,9281,9317,9309,8865,8542,9248
387,5289,5252,5069,5395,6137,6136,6929,6752
386,8320,9052,9091,9474,9226,9329,10248,10112
388,9916,10758,10511,10361,10012,10464,9966,10352
385,1778,1740,1935,2109,2333,2585,2885,3287
394,7145,7400,7548,8535,9764,11030,10595,11522
395,9141,8840,9241,9429,9924,11260,11119,11763
396,5683,6168,6461,6662,7391,7064,7833,7683
397,2635,2877,2884,3086,3336,3322,3811,4123
410,4479,4700,4994,5684,6043,6154,7045,7524
406,4520,5030,5214,5964,6728,7270,7351,7144
407,2139,2137,2393,2659,2618,2661,2691,2624
405,2447,2584,2911,2893,3301,3494,3881,3714
408,8149,8321,8474,9573,10385,11010,11318,10970
409,9639,10012,10165,11295,11420,12658,13340,13427
999,3215,3565,3896,4220,4850,5194,5232,5989
379,9418,9745,10503,11694,13212,13072,13195,14525
380,4031,4060,3956,4416,4729,4853,4947,5581
378,3545,3949,3814,4285,4522,4609,4671,4441
377,3863,3687,4059,4395,4471,4744,4636,4890
376,2586,2810,3138,2990,3313,3288,3701,4038
