id,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019
644,93,457,223,458,349,80
645,13,301,196,28,454,162
646,171,427,155,364,282,420
647,250,307,210,433,170,301
648,250,488,452,62,366,63
649,89,320,439,13,46,23
650,38,360,342,467,491,20
651,62,402,342,434,59,86
652,141,80,68,323,271,177
653,145,464,224,463,13,444
654,329,464,163,272,234,242
655,85,240,193,479,26,263
656,396,486,40,360,466,89
657,166,210,87,480,217,91
658,333,473,228,222,67,57
659,458,114,41,410,62,167
660,159,235,465,485,235,404
661,374,497,423,100,351,57
662,471,305,86,261,438,38
663,449,299,179,81,264,215
664,18,125,275,155,70,206
665,234,184,332,302,204,168
666,252,367,295,293,149,147
667,131,413,108,315,113,186
668,48,347,116,176,287,18
669,333,125,333,246,66,441
670,386,167,146,235,334,369
671,158,132,211,375,22,189
672,430,294,85,449,368,408
673,472,261,63,137,221,378
674,69,229,107,465,381,25
675,445,464,71,194,110,114
676,304,76,273,251,209,333
677,304,153,341,346,378,243
678,340,359,358,100,58,297
679,265,349,62,15,79,421
680,309,331,342,38,412,253
681,299,319,213,60,303,475
682,97,136,203,194,120,477
683,472,96,49,301,141,269
684,156,428,336,329,210,229
