id,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019
644,319,269,287,453,324,429,144
645,412,420,211,338,244,259,469
646,66,318,423,164,278,299,436
647,433,186,142,390,220,172,133
648,11,496,179,480,228,154,78
649,54,266,311,49,129,319,157
650,38,329,302,137,398,456,222
651,411,69,32,348,159,135,221
652,477,166,136,343,134,328,462
653,339,210,436,176,398,419,19
654,469,112,151,152,436,209,42
655,213,176,469,177,363,224,373
656,182,460,219,148,147,330,365
657,221,156,437,254,178,406,194
658,283,419,433,118,297,269,322
659,487,267,280,130,153,386,282
660,435,81,233,292,274,297,121
661,242,431,52,416,430,319,358
662,347,327,345,459,131,165,379
663,186,209,394,187,357,222,54
664,362,341,444,240,397,140,450
665,423,394,419,269,133,48,227
666,247,381,313,10,335,116,166
667,201,244,330,316,492,59,85
668,427,468,41,120,59,152,75
669,401,16,485,380,389,271,146
670,104,426,183,115,354,123,417
671,389,248,177,381,461,151,469
672,309,173,283,450,321,196,301
673,436,162,178,114,387,109,456
674,172,488,466,397,340,343,103
675,288,285,247,459,437,45,454
676,54,400,464,416,427,152,442
677,448,258,183,321,36,25,337
678,53,370,259,490,294,39,135
679,440,314,138,282,140,333,196
680,329,310,476,306,44,433,140
681,143,211,416,445,69,150,97
682,163,45,198,132,124,134,27
683,149,29,156,289,177,426,135
684,487,224,319,21,444,139,234
