id,y_1999,y_2002,y_2003,y_2004,y_2005,y_2006,y_2007,y_2008,y_2009,y_2010,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2019
382,6666,7127,7323,8092,9303,9871,10986,12396,12337,12510,12695,14157,15880,17631,19287,19401,20820,20444
383,8589,9772,9786,9837,11090,11284,10999,11517,12794,13668,13823,13333,13306,15265,17280,18487,20669,23216
381,6008,6249,6911,6670,6597,6422,6278,6401,6129,6878,7254,8171,9038,9515,9288,8865,9283,10456
384,2128,2308,2529,2442,2527,2817,2979,2987,3161,3115,3460,3578,3494,3835,4316,4161,4035,4342
391,6974,7550,7328,8204,7918,8401,8258,8649,9837,10383,11170,11650,12105,11870,11906,11687,13239,14100
393,7313,7275,8164,9069,9044,8923,9244,9491,10234,10535,10294,9975,10276,9770,10173,11103,11301,11661
390,9053,9739,9584,9619,9503,9306,9579,9799,9676,9867,10834,11538,12168,13896,15663,16426,18833,19402
392,4746,5295,5227,5482,5368,5860,5783,6100,6766,6872,7573,8373,8627,9884,9737,10854,11042,12502
398,4854,4715,4891,4654,5341,5453,5558,6258,7186,7127,8086,7732,7353,8146,8037,7793,7429,8214
404,4263,4279,4877,4685,5371,6084,6702,6427,6283,6423,7081,6982,6879,7536,7677,8770,9739,11119
401,5060,5483,5422,5292,5556,6030,6558,6955,7235,8314,9122,10189,9807,11203,12852,14476,15162,15030
399,6671,6416,6476,6956,6988,7352,8254,8735,9854,9811,11070,12172,12253,14022,15276,16476,15818,18000
402,6968,7655,8705,8559,9124,9405,10346,9869,10444,11773,12533,14222,16349,18617,19802,20233,22162,22534
400,9286,8906,8985,8726,9176,9990,11356,10839,11532,12649,13529,15103,14535,14497,16304,18453,20863,19924
403,1196,1166,1303,1352,1295,1425,1589,1650,1728,1919,2188,2212,2299,2571,2713,2691,2876,2919
373,8653,9352,9774,9288,10317,10315,10745,11923,13039,13835,15311,16025,16498,17195,19393,18609,20679,23767
371,2936,2869,3029,3449,3577,3778,4308,4470,4508,4324,4927,5579,6316,6637,7274,8169,8023,8403
372,3867,4191,4445,4912,5628,6115,6093,5860,5628,6156,6725,6952,7741,8887,9169,8859,9830,9974
374,7413,7964,8474,9640,9785,10221,11145,12235,12484,13762,15745,15919,17912,17559,16989,16853,17680,17566
375,5661,5595,5932,6058,6846,6700,6811,7182,7870,7963,8746,9721,9809,10807,11984,12682,12547,13230
389,2742,2884,2876,3035,3053,3197,3490,3688,3895,3945,4106,4165,3990,3917,4285,4281,4601,5104
387,3627,3838,3662,4092,4418,4277,4630,4911,5624,5803,6183,6156,6096,6021,6536,7396,8422,9541
386,8148,7920,7959,8643,9909,9780,11011,11425,10982,11317,11029,11232,10869,11840,13268,15008,15804,16736
388,4381,4572,4552,4478,5018,5260,5005,4887,4996,5722,6121,6745,7182,7195,8142,7867,8661,9696
385,9822,10720,11539,11604,13030,12585,14211,14311,16195,17502,17104,16599,16202,16481,18891,20211,22825,25614
394,3924,3943,4037,4630,5170,5465,5795,5768,6555,7249,8088,8411,8342,8874,9025,8920,10182,10096
395,6738,6990,6794,7176,7147,7394,8171,8153,8109,7847,8458,8911,9786,10080,11520,11518,12553,12270
396,2933,2880,2973,3168,3038,3484,3841,4289,4153,4020,4222,4497,4274,4853,4638,4569,4940,5220
397,2260,2580,2562,2640,2752,2898,2973,3372,3822,4382,4246,4588,4979,5098,5312,6077,6510,7321
410,9861,11033,12098,11910,12062,11856,12246,13601,15581,16884,17638,18557,20857,22237,24796,27510,27085,28618
406,2130,2299,2252,2585,2480,2393,2428,2782,3069,3512,4018,4252,4723,4602,4414,4402,4265,4674
407,4290,4820,4979,5357,5917,6374,6419,6966,7907,7656,8797,8412,8382,8628,8280,9511,9767,9907
405,3368,3308,3338,3528,3574,3659,4110,4494,4943,4855,4694,4593,4388,4786,5349,5551,5837,6209
408,8428,8774,9376,9243,9260,9921,9768,11176,11599,13207,14377,14080,13429,14502,14754,14198,13790,15457
409,7203,8230,8103,8766,9481,10657,11372,13043,14124,15644,15670,16580,16558,18590,20002,19950,19621,21799
999,8466,8136,7852,8419,8522,8884,8595,9569,10932,12036,13715,13830,14838,16835,16406,18215,19793,19916
379,9529,9191,10090,10064,9698,9788,10687,10951,11663,13392,14602,16551,18808,20073,22048,24265,25840,28252
380,7475,8264,8783,8933,9087,9923,10008,10271,10288,11405,12155,13026,14743,15425,15210,16366,17238,19506
378,8513,8093,8772,8436,8834,9723,10483,10469,10481,11876,12239,12942,13180,14585,14257,15337,17429,16933
377,1812,1975,1957,2029,1945,1891,2148,2336,2660,2939,2947,2983,3277,3598,3966,4430,4795,4817
376,9112,9762,10539,12098,12259,13317,14069,13983,14041,14679,14527,14178,15120,17270,19497,21281,23356,26494
