id,y_1999,y_2013,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021
382,7285,8212,8967,8702,9085,10391,10600,11811,11446
383,1419,1619,1686,1720,1670,1699,1832,1929,2146
381,2455,2691,2833,3101,3178,3562,3451,3312,3360
384,2236,2130,2117,2292,2495,2712,2618,2974,2919
391,6128,6474,6330,6258,6450,6623,7435,7409,7567
393,7925,7675,8610,8320,8927,10002,10100,10198,11445
390,9746,9362,9881,10760,10352,11399,12012,13060,13520
392,6377,6072,6071,6491,6648,7357,7818,7656,8634
398,1251,1238,1192,1323,1371,1503,1599,1666,1777
404,3610,3648,3547,3916,3732,3924,4004,4106,4377
401,5435,5838,6458,6502,6607,7285,7963,8382,9312
399,4793,5397,5685,5497,5991,5824,6442,6187,6333
402,2148,2212,2200,2110,2111,2152,2112,2326,2413
400,3298,3353,3646,3599,3982,3839,3969,4190,4717
403,1963,2239,2221,2480,2369,2459,2616,2613,2970
373,9437,10801,10674,12243,13884,15866,15209,16369,18652
371,3211,3453,3776,4127,4356,4808,5013,5709,6041
372,3729,3873,4191,4136,3965,3945,4052,4182,4305
374,9675,10965,12115,12971,13182,13053,13106,13257,14161
375,6401,7297,7979,9151,9228,10029,10901,11082,12016
389,2554,2875,2741,2949,3354,3445,3336,3284,3484
387,8015,7849,9013,10346,11657,12976,14317,13907,15278
386,8729,9206,9532,10510,10802,12002,13263,12956,13566
388,6402,6911,7261,7400,7767,7997,8439,8162,8619
385,6772,6514,7148,6826,7748,7558,8093,7940,7918
394,5402,5618,5805,5797,6420,7195,7201,7865,8293
395,6629,6545,6453,6418,7064,7947,7774,8393,8454
396,3789,4042,4152,4609,5006,5323,5167,5137,5740
397,6522,7334,7740,7643,8594,8584,8262,8005,8416
410,9606,10797,10661,10145,10313,10940,10973,12380,13137
406,1151,1155,1274,1322,1369,1552,1774,1992,2207
407,7772,8321,8210,8922,10214,11009,10951,11774,11537
405,6252,6861,6931,6869,7060,7871,8319,9030,9685
408,3783,4285,4806,4683,4816,4622,4931,5571,5379
409,4571,4726,4965,4818,5361,6164,6054,5967,6380
999,9436,10254,11220,12548,11981,12022,13755,14152,14140
379,9478,10015,10784,11565,11215,11632,12521,12376,12232
380,6730,6834,7299,8006,7617,8450,8763,8707,8802
378,7071,7967,8460,8171,7939,7978,8833,9429,9178
377,1089,1058,1140,1120,1133,1268,1449,1415,1506
376,9287,10664,10693,11117,11699,12746,13876,13383,14805
