id,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021
644,12,497,263,194,184,61,300,262,64,497,70
645,477,319,332,269,107,483,186,71,295,18,450
646,107,104,11,317,67,458,119,419,28,87,152
647,285,163,67,99,202,97,313,180,487,360,493
648,64,357,339,33,90,497,467,100,343,261,403
649,451,318,312,175,360,166,181,310,401,374,314
650,269,302,63,100,316,259,320,100,34,225,328
651,10,194,485,466,429,317,41,11,428,90,26
652,290,162,178,219,424,138,399,102,135,409,439
653,178,36,465,101,18,177,121,235,340,472,401
654,314,122,221,280,122,199,452,319,432,477,427
655,16,151,18,466,392,288,420,409,446,259,312
656,446,326,77,393,69,404,497,126,470,13,416
657,296,433,211,252,141,396,46,299,69,109,15
658,285,283,396,470,246,407,269,25,294,349,220
659,418,137,341,413,345,423,198,425,110,343,439
660,70,235,465,50,476,49,253,496,71,81,272
661,302,271,412,399,499,373,207,189,231,75,477
662,495,209,474,162,351,468,119,47,486,340,151
663,80,102,48,387,172,157,410,452,462,388,418
664,206,302,219,187,98,162,171,110,371,239,457
665,142,489,104,66,117,249,404,106,369,80,357
666,218,24,256,66,371,419,205,477,493,174,118
667,139,56,194,387,274,230,172,286,267,339,28
668,369,469,93,130,456,239,297,117,433,191,131
669,314,78,170,302,55,216,320,63,60,461,39
670,17,419,408,407,127,384,306,352,354,182,113
671,115,71,479,70,497,367,312,61,321,489,345
672,134,58,343,59,487,257,35,42,469,15,28
673,218,486,264,307,373,212,352,359,424,58,92
674,494,26,407,20,394,82,148,159,278,345,226
675,12,359,236,50,232,385,222,290,499,259,313
676,210,34,297,71,222,152,102,336,184,448,354
677,428,413,266,42,484,261,142,311,144,177,83
678,299,124,136,260,121,462,36,298,480,400,231
679,283,364,352,255,340,196,54,147,309,455,93
680,369,489,488,345,142,336,432,332,395,113,41
681,132,487,410,237,353,413,244,261,215,371,67
682,71,304,106,97,137,339,243,13,364,309,486
683,324,44,260,433,465,367,33,123,413,221,303
684,366,227,262,124,15,75,112,145,209,464,490
