id,y_1999,y_2011,y_2013,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021
382,2135,2121,2051,2217,2464,2820,2684,3064,3300,3561
383,5978,6026,6670,6631,6876,7087,7621,7455,8012,8942
381,9882,9986,11008,12385,12063,12287,13585,14627,16805,17844
384,4200,4112,3994,4129,4208,4308,4776,5278,5508,5455
391,7767,8651,9352,10743,12188,13517,15068,16062,16900,19077
393,2601,2954,3253,3122,3127,3431,3309,3771,3791,3678
390,5162,4972,4849,5028,5326,5084,5154,5249,5249,5780
392,7754,7625,7249,7473,7505,7597,8091,8101,8142,8457
398,2223,2113,2076,2101,2095,2105,2361,2317,2364,2702
404,4618,4787,4783,4734,4758,5250,5137,5413,5897,6465
401,7726,8450,8065,7998,8810,9543,10145,11451,12380,14009
399,8533,8396,8748,8481,8730,9916,10274,11224,11900,11814
402,9625,10116,10013,11504,11865,12953,13758,13722,13725,13136
400,9959,11379,12298,12952,14047,14589,14315,15004,15601,17059
403,6028,6760,7443,8488,8957,9613,10476,11569,11394,12392
373,9379,10621,10601,10680,12242,12275,12574,14406,15568,16296
371,6068,6725,7077,7718,8855,9508,10099,11228,12781,12837
372,6624,7039,7300,8304,8443,8183,8952,8868,8907,8700
374,9594,9692,9508,10651,10214,10561,10346,10661,12215,13175
375,2118,2071,2005,2150,2423,2722,2799,3143,3054,3300
389,2772,2888,2942,2954,2846,2811,2811,3054,2983,2866
387,2676,3048,2986,3384,3442,3557,3399,3359,3718,3657
386,8856,8737,9904,10387,11321,11123,12501,12445,14254,14343
388,3871,3765,3919,4296,4507,4900,5064,5447,5239,5204
385,4021,4193,4788,4923,5424,5921,6213,6482,7125,7096
394,8454,8067,9105,9196,9548,10796,11141,12213,12083,13214
395,5063,5280,5974,6343,6628,6717,7452,8466,8959,9445
396,6913,7085,6740,6414,6974,6914,7098,7845,8518,8199
397,1088,1119,1196,1261,1386,1525,1608,1603,1815,1951
410,8199,9301,10466,10945,10845,11818,13365,14180,14422,14444
406,6565,7172,7754,7920,8723,8868,10128,9890,9442,10034
407,2986,2862,3042,3448,3829,3755,3812,4080,3939,4253
405,3654,4195,4448,5057,4835,4621,4757,5432,5890,6545
408,9539,9786,9875,9630,9338,9332,10583,10681,10950,11260
409,6810,7819,7567,8515,8811,9472,10204,10168,10589,10411
999,4867,4744,4624,5295,5214,5867,6494,7030,6993,7047
379,1773,1921,2162,2336,2624,2531,2651,2849,2981,3412
380,2856,3105,3044,3132,3215,3101,3141,3078,3457,3474
378,3681,3921,3897,4388,4853,5137,5730,5842,6479,6797
377,2812,3195,3577,3693,3510,3532,3398,3847,4126,4088
376,4218,4093,4458,5012,5559,5756,5991,5974,6586,6970
