id,y_1999,y_2019
382,1.9,6.0
383,4.5,5.5
381,3.3,9.0
384,8.2,6.0
391,9.9,9.5
393,7.4,6.1
390,4.9,3.0
392,9.1,1.2
398,2.6,5.9
404,4.4,1.3
401,5.2,4.0
399,9.6,5.5
402,5.9,4.2
400,5.9,5.1
403,4.1,1.2
373,5.7,4.3
371,6.4,4.8
372,9.8,3.8
374,5.2,5.8
375,6.3,6.3
389,3.2,9.1
387,2.7,9.4
386,5.2,6.4
388,7.1,8.8
385,2.1,8.8
394,3.4,6.0
395,4.0,8.8
396,2.6,7.8
397,1.2,3.2
410,3.9,1.5
406,8.7,3.3
407,7.6,4.0
405,8.5,4.1
408,8.4,1.5
409,7.9,1.9
999,8.2,8.7
379,5.8,6.6
380,9.3,5.0
378,3.9,8.5
377,5.9,5.2
376,6.7,5.0
