id,y_1999,y_2000,y_2010,y_2019,y_2020
382,6002,6392,5985,6954,6525
383,394881,391217,379088,421594,482955
381,314331,317323,354466,413067,460037
384,287285,294300,270059,251347,287346
391,389697,422187,435498,434026,505164
393,645832,614160,625614,748395,784970
390,35406,36520,42093,40382,47240
392,525739,465467,524226,566339,557900
398,568809,526042,541331,596195,619834
404,121852,122001,128485,136377,154813
401,519240,534155,641227,744130,831864
399,432465,429134,497330,453196,473584
402,91934,96111,90672,99866,99487
400,21019,21895,25147,21970,22709
403,113655,117118,144842,142312,136293
373,250258,267167,258521,262602,297561
371,23288,22328,23756,28775,27684
372,417798,511646,579189,563543,559564
374,652585,716336,849180,867918,1066190
375,33458,36573,36653,40808,44618
389,381288,387298,442991,469939,483978
387,624271,693653,725151,786167,820761
386,36381,34877,38051,36130,36553
388,215989,215221,243670,267922,301784
385,86288,74925,87273,95203,118522
394,321591,342625,368315,331689,368221
395,203174,245166,240152,229090,233823
396,310674,318854,291631,309957,332128
397,427008,422961,480293,529444,600154
410,192643,204361,221989,194115,221963
406,308720,356577,378609,415490,421179
407,95861,91644,83139,77393,94942
405,27377,27075,32174,32850,32800
408,729155,748640,930803,976255,1161425
409,293204,279278,320632,353889,400440
999,27623,28676,28755,34774,36308
379,87721,86012,89149,96036,91811
380,70183,67873,63535,57378,65407
378,202278,181442,171945,185335,196245
377,152522,167484,165315,177033,203996
376,111170,126825,143675,154648,168790
