id,y_1999,y_2019
382,502970,452293
383,209355,249711
381,350447,354475
384,684193,649254
391,209941,212413
393,304582,270920
390,320120,287039
392,242654,292914
398,231876,229040
404,17474,17750
401,105388,104970
399,280807,266389
402,329316,397025
400,64215,56697
403,77025,79006
373,667752,791013
371,142372,155001
372,892984,1010482
374,181179,199705
375,6711,6679
389,298816,285937
387,74536,77375
386,446346,400098
388,264916,255766
385,57447,62262
394,82245,93569
395,195893,217752
396,240102,229756
397,54591,60900
410,23500,23093
406,236650,234622
407,218752,227332
405,738843,899433
408,132347,135466
409,319732,317702
999,14282,16844
379,214269,220102
380,143561,154587
378,114659,115850
377,158774,154119
376,110272,119580
