id,y_2011,y_2013,y_2015,y_2016,y_2017,y_2018,y_2020
644,450,50,33,308,21,175,392
645,107,352,175,434,168,350,282
646,481,265,270,346,161,45,121
647,176,189,494,33,174,457,275
648,277,377,263,280,372,217,288
649,39,103,345,190,308,118,269
650,51,143,205,376,483,116,59
651,399,483,389,10,222,72,342
652,165,172,446,105,177,360,218
653,456,161,229,197,479,328,90
654,264,362,474,222,489,99,322
655,254,418,297,85,131,139,238
656,447,497,56,433,81,350,276
657,150,278,153,319,51,244,44
658,131,43,29,414,224,436,247
659,149,434,450,275,49,480,333
660,130,16,362,209,118,326,165
661,55,273,146,150,465,401,207
662,234,99,285,195,250,144,79
663,206,327,491,146,400,42,357
664,308,30,246,54,267,10,391
665,43,221,285,273,110,197,234
666,339,291,398,446,303,99,241
667,383,404,191,418,372,415,204
668,464,395,355,452,494,52,48
669,257,338,298,286,64,44,61
670,210,233,176,492,451,164,381
671,387,435,52,334,53,158,368
672,487,480,208,269,49,489,453
673,210,228,215,260,69,189,331
674,119,290,208,456,86,337,200
675,244,107,121,350,258,483,214
676,308,324,270,33,249,163,138
677,280,370,52,15,235,15,255
678,229,167,381,299,205,409,371
679,34,374,399,467,123,228,485
680,259,285,411,219,376,294,241
681,453,29,337,251,111,100,136
682,218,11,68,346,217,449,301
683,265,436,143,353,164,212,182
684,257,477,314,335,106,293,339
