id,y_1999,y_2000,y_2010,y_2013,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020
382,684336,661843,722189,747011,762544,803110,808547,856626,895973,942835
383,228624,242028,226609,216350,212633,246102,292822,335128,367073,331405
381,243721,242478,226469,235234,284921,305871,322073,310869,335121,389401
384,459970,462614,513487,501515,441382,480294,535154,523303,635397,711635
391,407907,483927,479802,513394,564719,595767,553168,638554,738259,669472
393,229132,236850,247197,230274,257445,308722,327057,350980,416887,433612
390,543344,556474,654610,617302,601557,637458,710095,783913,827033,862558
392,261348,264784,284385,272247,285374,304034,313298,311211,360196,378784
398,682641,702298,832573,848043,989079,1024133,925730,882120,1024307,1145816
404,202791,227699,235654,273803,271249,259942,288394,345175,384160,447458
401,586370,634483,688469,781731,793951,825295,881304,881497,923741,946245
399,97195,102580,111491,99902,91414,80728,72541,75192,85368,102279
402,365712,375090,430954,392604,418355,444219,500690,504271,467819,559895
400,691689,681693,824299,815894,973438,998971,1059468,998537,1070732,1141661
403,355277,401255,375029,350121,371317,398210,498770,542856,588150,606539
373,32504,38652,42076,43708,47513,48325,51567,54914,60000,70423
371,277485,310352,308172,320876,309643,295083,304973,358634,357268,334768
372,52590,52869,54851,56574,60974,71272,74003,68147,69114,73771
374,574272,629364,670337,722276,845407,907340,925984,900591,883247,949823
375,177155,197014,235313,249834,267240,254843,266257,281817,254740,229645
389,89410,90975,100186,101195,105064,93874,85889,87327,83969,89360
387,424234,429942,501960,503781,513689,536827,546400,526547,530656,517339
386,695085,721861,801015,940229,948515,1072377,1138802,1286996,1412547,1414776
388,90142,100501,97858,88905,77369,81801,86016,94748,86527,77983
385,11736,13848,16407,15213,15023,16225,16085,17037,17371,16456
394,178488,175629,172987,167720,187234,189014,222419,218572,239332,283223
395,127333,138792,157288,187330,210709,200837,207689,236188,223949,242879
396,400605,484928,474819,549195,557490,602024,568038,675676,781592,809162
397,136941,152848,154112,187382,166398,182196,183569,164199,175406,165924
410,305049,350470,375695,386031,476204,428373,520617,608254,614623,682324
406,385658,411267,471055,481397,581749,624160,614056,640553,637326,608097
407,164254,185252,200738,207202,221356,205771,211653,219332,192519,176696
405,101666,96159,109860,126827,153223,146393,154220,176883,172909,172879
408,864286,907406,829369,969779,958835,1072790,1195989,1342114,1268451,1249743
409,77706,68190,72615,86661,93663,90014,110469,118146,113489,113471
999,315025,320239,368972,402343,434995,437970,454978,429478,510254,524499
379,194949,198239,201760,188896,207867,201965,211719,233629,262258,277642
380,231557,236084,248052,251666,277866,266495,278197,281720,281214,277402
378,347266,381211,454803,486867,458593,509917,534570,551433,544122,547575
377,153741,161484,180711,195497,179140,202252,202705,221559,245174,299086
376,479840,566951,612595,671387,748420,892713,984577,995340,1056736,1126407
