id,y_2012,y_2014,y_2016,y_2019
644,366,248,190,364
645,453,425,58,389
646,101,258,139,181
647,228,344,219,83
648,492,183,332,243
649,186,423,147,439
650,307,237,447,191
651,33,462,481,14
652,300,465,264,370
653,53,163,174,197
654,377,46,100,242
655,198,453,345,482
656,460,421,310,34
657,395,268,233,35
658,100,200,478,331
659,431,20,409,287
660,144,326,338,32
661,434,238,58,408
662,17,85,368,29
663,160,101,143,171
664,362,182,473,282
665,10,484,316,405
666,279,68,160,187
667,298,259,458,233
668,273,164,235,338
669,397,449,343,136
670,262,75,135,65
671,476,133,387,433
672,187,489,10,446
673,299,216,155,290
674,47,362,164,349
675,319,199,259,39
676,171,181,350,116
677,233,125,35,438
678,209,292,244,445
679,79,434,339,326
680,455,280,179,98
681,435,24,202,292
682,217,219,438,137
683,485,164,265,340
684,73,424,429,349
