id,y_1999,y_2011,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019
382,196933,220125,222379,252427,277816,291206,264925,270454,271477
383,236398,268285,277071,274360,274877,289192,314763,372525,350609
381,420928,373465,423748,436986,497117,548396,584991,663966,658833
384,156232,160032,155857,173861,195516,221368,251219,237271,221380
391,117676,135476,145672,138966,152973,142391,141703,164291,200290
393,33282,29459,28473,27496,29993,31115,29323,30530,30608
390,241954,256221,298830,298161,318290,368745,393360,471717,443853
392,16669,17674,17671,18044,19719,17950,16851,17501,16616
398,264086,299925,361551,349463,319175,372686,386040,411242,505615
404,205606,234125,228415,264185,247002,231917,206423,240812,221819
401,372724,411576,464690,525935,615860,633059,572872,587399,563973
399,43230,44167,47852,48466,59532,58611,64642,76063,76627
402,294161,307149,384134,412290,488313,575803,638270,620113,650372
400,241850,266724,312368,293633,277260,294302,273629,243526,251231
403,133658,133620,136414,134172,165322,168158,178316,185434,195331
373,505189,494222,458901,501365,461484,487942,542890,572690,535029
371,309288,302599,298312,323805,320982,346818,372155,373891,387405
372,262703,307722,325067,372271,354945,357591,359384,335728,309911
374,74102,75389,76931,78591,94935,99545,118334,125905,112507
375,25274,25268,22891,24194,25753,29735,30473,29093,30203
389,90612,88716,93756,95939,100292,89346,91821,101377,104075
387,129009,146455,139665,142629,150045,168738,149491,170114,154768
386,46632,43912,44826,42753,42067,43800,40709,40700,48277
388,576374,623901,643565,668101,674395,712396,853241,823952,836183
385,151096,181566,185142,221073,224078,253276,270826,309744,334700
394,814369,904001,1001055,1015672,947943,987950,1137876,1237138,1442982
395,143559,146021,149268,154375,170226,174074,163316,183609,218087
396,699605,753074,698711,744921,721888,835535,903236,1001128,1002181
397,17435,18420,20146,21876,25413,23524,27047,25451,26745
410,261469,279875,288873,303677,336331,408601,403127,370355,446635
406,274351,321919,374964,344398,381550,413388,440980,439994,439324
407,285728,302196,338902,334391,347829,404233,390503,369583,423304
405,125481,131100,145430,167872,210895,209467,237711,218869,254385
408,316594,330488,373812,413331,479913,534837,579192,635636,634563
409,145481,156948,186014,178282,191894,215824,229330,271510,311197
999,221587,258852,260254,258266,301966,331323,383281,434971,477649
379,86822,97955,104458,127345,125877,144373,152002,163542,145301
380,35073,37064,38916,42198,46005,53949,60446,56306,57549
378,284822,324932,347524,337224,355059,346757,368212,425572,435009
377,525792,514232,478684,538927,494683,567854,612755,595641,562849
376,114831,122379,115185,112707,107260,94205,108632,120618,118993
