id,y_1999,y_2017,y_2018,y_2019,y_2020,y_2021
382,383408,387800,380848,382148,376494,446758
383,390578,430343,531324,544149,647118,687967
381,525162,506977,519413,480774,539386,494613
384,39563,44738,46207,55634,57079,67642
391,183931,206411,233710,264130,282772,304858
393,535600,546884,613794,714077,764500,836585
390,47459,51477,58721,53632,54783,59830
392,101544,92271,87327,82655,96697,106589
398,493019,468456,560980,611349,580980,676460
404,692951,644092,632415,684410,748195,763549
401,200298,178367,178159,170648,177586,186112
399,28112,29289,30155,33133,35083,39002
402,460693,542708,560877,585159,642897,639342
400,9178,10917,10282,11434,12585,13577
403,241732,250409,255826,236231,255544,269590
373,345085,375349,373486,366597,381040,409509
371,150032,162474,181857,180252,193280,183928
372,318446,317379,351134,341254,366386,415689
374,126487,130317,125790,120817,104868,110287
375,391624,365087,390987,404201,458095,481211
389,22317,19975,24376,22815,28067,30213
387,541262,519027,525489,619138,628689,720305
386,216529,199449,189737,178995,207002,234167
388,795326,834419,1007438,993457,1004158,905134
385,69381,72232,70094,73617,76364,73231
394,267861,306514,344791,416201,469586,497394
395,81183,90760,90696,98020,105288,108440
396,73641,69972,68801,74450,88590,95162
397,67705,70522,77029,78121,87391,93566
410,263402,301885,280456,315050,367976,380074
406,289280,291062,257429,243324,255355,258855
407,85172,92769,105639,111077,107128,106949
405,729605,862945,991424,1044059,1126309,1154143
408,843164,838549,854441,968487,1081895,1119253
409,98624,93509,89512,96617,95299,96086
999,67131,73369,80296,84535,78671,68014
379,175927,201762,203195,209444,224518,218655
380,100816,112926,115368,121504,119529,141857
378,479548,546874,584773,558513,503913,503044
377,613712,640513,711740,845207,816176,823567
376,166967,182943,171757,190942,213781,212765
