id,y_1999,y_2002,y_2003,y_2004,y_2005,y_2006,y_2007,y_2008,y_2009,y_2010,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2019
382,268711,292293,302642,325188,380505,434423,530466,621550,606508,664500,739195,905762,945255,1148608,1329770,1430689,1448401,1349306
383,11405,13110,14142,13918,15995,15204,15962,17376,18274,20509,22031,21244,22945,27121,31050,34901,40067,44130
381,219787,234527,268454,267129,273948,240266,220101,227010,206073,250107,246978,288353,305514,299719,303482,263847,272242,276210
384,102830,112243,133908,128297,121726,148100,159546,161855,169211,158338,160563,170954,173766,199393,215910,201558,179144,176886
391,685368,788708,789521,832975,856776,910700,928360,935624,1078483,1133151,1206762,1137313,1126171,1107602,1016076,897846,934419,988130
393,235371,239829,246339,252973,243556,221762,241840,234165,237016,220750,194491,196119,194125,197189,216284,228993,218263,246070
390,346486,338720,350463,335074,339656,331879,329302,315986,286887,303482,313916,341797,380171,476382,550540,581678,648625,656424
392,146127,168538,170707,163944,175356,200176,180970,208363,214396,225078,232748,274368,272683,325313,337297,352776,379033,453717
398,84758,74532,72131,69360,75328,70645,75245,79080,84677,85658,91686,89089,85449,88832,84492,89681,78648,86531
404,309408,295108,306565,267994,323858,351929,389101,338225,350164,372594,438362,399503,423904,476860,509850,564923,600009,657477
401,356612,394518,410151,379714,415257,460068,474185,502761,483914,543552,644181,760503,758059,835939,955250,1170987,1269538,1206545
399,394743,359701,385751,399964,379034,427743,498106,507346,532435,531635,635338,759469,785763,906158,939975,1028923,969147,1011731
402,106026,109319,120399,121943,124684,138050,163790,171227,194414,218892,245640,276014,291239,332540,375948,407186,477639,482332
400,170033,150536,160587,155703,173303,192459,208107,183513,176098,173843,179944,212261,218738,226419,241673,276620,341235,351706
403,92802,88458,99318,97297,93948,105401,114997,109631,105034,108275,131194,127351,134368,145006,152064,154244,172716,159670
373,568413,645990,714707,741690,792576,784781,872058,1055121,1202127,1307988,1405090,1444603,1582769,1610005,1971827,2019522,2256784,2356918
371,86108,80801,82189,96274,103448,103045,112735,115034,120801,106971,116417,133974,155868,163206,176002,197170,206856,225349
372,131505,145418,151396,177203,215815,255562,273862,268648,279793,287087,322080,345741,373730,413487,438025,439604,460195,493776
374,133042,144385,152407,159205,162760,157877,183827,188374,176272,188051,200922,191109,220991,224666,211255,204450,214275,196304
375,293015,294181,332312,360340,376989,336151,337317,387737,427043,434260,429833,481107,441114,469861,549540,557502,562383,567799
389,52885,55536,52927,57879,63432,68211,68957,70751,80627,87391,94172,92052,80839,84590,92518,86892,96308,106301
387,13044,15063,12949,13098,14550,13449,13615,14210,14797,15479,15810,17276,16405,15124,17973,21571,24679,30468
386,290820,296170,289870,295954,349477,319629,364147,388185,336536,317124,298660,300340,269556,287417,349633,398258,453443,468895
388,76094,76612,76283,78045,80486,80602,82621,87580,89483,103451,112498,116902,114539,110669,120545,111728,132255,146421
385,464230,489950,519472,477147,499744,517205,554231,505747,531639,630901,603859,586775,532634,591403,649095,742494,811436,876374
394,56104,51277,50384,57397,62841,65923,64471,67054,76799,85382,102234,96494,91174,95475,94130,83758,97695,98197
395,460142,501247,458162,473077,475922,485814,583864,557108,595724,613220,720597,815056,856627,866039,1066008,1054667,1040406,1016322
396,96661,95356,107400,115544,100370,116408,117740,132545,120325,106138,108827,120513,118404,125516,129705,118085,136057,148339
397,88422,101192,91847,101772,109442,123363,127719,139960,148108,182360,172616,205103,204172,192819,184056,231417,269586,301818
410,73755,76314,77248,78020,78455,84687,92886,106917,111009,123576,116347,124352,129661,125336,127916,141970,137808,139535
406,77859,79629,82449,91977,82042,82101,77991,87120,101154,125750,137266,146744,151818,136789,131786,125248,127488,129332
407,275456,327271,316413,339219,343996,339067,318472,376626,430110,404734,498783,445688,424319,437079,390974,445584,500756,548596
405,121211,114124,126284,124517,117522,111087,118124,121795,124579,121509,111490,108332,111580,124766,139983,139038,149266,167826
408,561133,601093,685219,643805,621152,703301,716086,860324,927418,964707,1149265,1152992,1200375,1266085,1394583,1343855,1270727,1558278
409,299291,311182,332525,347962,344959,386015,381985,480152,479897,521763,489865,523258,517909,574553,596315,645427,683768,762185
999,395809,393058,368055,416995,450466,471657,422823,516451,602166,642202,775500,825317,893458,1002241,986780,1004307,1047946,1007355
379,328571,293533,353685,355680,356985,363450,414056,415811,446548,475702,532120,663258,704369,774832,892770,935749,953385,1140064
380,284671,320413,322829,341198,368944,414623,424881,406864,441113,483478,476698,495177,524310,534197,485566,568606,566627,662548
378,444447,434178,452088,475155,518962,534819,574265,586603,543011,613989,691786,762030,837312,994733,988895,1030195,1208620,1072926
377,57257,60920,61369,61930,60786,58091,60153,63178,78542,91215,97739,92725,108228,110674,133168,150595,152007,163952
376,511137,513838,596118,618076,643323,755325,727597,706317,640612,700161,691115,650174,691552,796253,924046,1044081,1205525,1415503
