id,y_1999,y_2013,y_2019
382,810064,770123,767148
383,490901,518396,562245
381,147148,142224,140679
384,137240,146576,168543
391,301655,289450,326956
393,399710,386872,336226
390,244877,239601,229862
392,155521,140696,144966
398,386439,418146,388698
404,591968,670336,727130
401,16931,18128,22012
399,152239,155584,192701
402,100339,94181,92937
400,221788,222261,222447
403,383685,376442,451240
373,7526,7242,7497
371,349332,370540,391746
372,418387,481321,453600
374,83903,84054,78124
375,427995,470323,481327
389,18589,20592,21370
387,409773,368788,391649
386,42750,51679,55684
388,89917,102771,96495
385,99576,92739,91006
394,650435,735704,774841
395,125085,150765,166361
396,648978,793442,797124
397,175088,187151,220986
410,82182,80481,83344
406,101120,95545,104812
407,111186,104937,112611
405,266104,262665,274776
408,503041,518188,487068
409,665849,744014,781190
999,83253,76310,86019
379,249999,299259,289849
380,670910,837005,972854
378,124055,145192,148310
377,29249,34862,34982
376,175020,171029,171363
