id,y_1999,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021
382,94424,114859,115219,112001,104335,107372,122542,121114,139365,159655,159290,183941
383,359266,395131,420340,487615,551498,635417,609217,646997,733483,776594,827912,845355
381,53585,56187,63553,75754,94774,91557,85312,87248,84071,88382,83016,92839
384,179647,190535,173206,163612,153065,147413,143732,160199,162902,173380,200789,199334
391,142539,137607,138893,130653,139175,155566,160645,159925,164823,183220,202176,212353
393,275025,273272,265153,263968,252507,230897,241534,223826,209784,232997,230153,249025
390,245403,281595,281369,282718,280504,277167,289383,287303,319603,345826,341894,322766
392,438757,443650,440626,458926,501759,520422,529724,573893,552101,569608,628359,666675
398,517224,519490,595797,626204,603268,602631,614392,653454,754678,755652,837043,884343
404,269135,272607,286650,321521,338758,409722,387258,473453,480326,493137,534393,540188
401,320915,336255,374805,453973,510238,521981,567945,554778,553813,572755,565033,590523
399,415422,492527,555206,566597,673511,804161,932271,1026032,1049539,1051770,1099055,990838
402,161766,174245,184684,199980,196786,245018,244847,259470,259929,307770,340434,360691
400,116862,130365,122577,124316,144437,149636,156898,188717,204284,214450,231764,233882
403,256309,270713,258161,276553,273015,300804,295876,314011,317973,319856,394636,393175
373,116576,137003,133537,137414,127840,144818,169897,181605,188890,215151,221174,252836
371,343249,351704,371180,452413,457925,428673,446829,441120,453911,469946,544461,516160
372,128310,131167,139717,139367,149996,157823,147844,172871,186240,209568,214124,230569
374,365012,413178,409713,445196,498486,505985,496832,542523,538406,590047,659418,616321
375,932100,1062859,1128301,1160488,1393145,1403158,1480918,1586621,1656580,1554685,1438660,1232731
389,561605,585123,583976,685239,817303,799257,826480,817836,906071,1006422,868392,904532
387,200219,213897,210431,224304,229035,236351,265676,238329,227338,260140,290707,277894
386,290440,304339,302027,282398,324689,363427,399409,431702,476471,485962,520277,578523
388,382495,475132,501210,509171,526909,571493,665099,693810,646670,621387,630460,645803
385,27568,30313,28297,26954,25888,24643,30508,30990,33447,36904,42391,46763
394,158699,157390,181523,166644,184399,160230,162220,154518,170303,188878,176187,187921
395,311744,335724,339567,387446,467460,465835,536665,556150,598634,641730,720689,729362
396,225753,257382,300723,324427,400340,400613,395312,426128,435529,461985,543475,607387
397,200715,188381,184497,206360,217648,231237,232124,236035,259852,249155,292707,318368
410,496004,543085,474594,504827,543957,542233,515699,504430,572141,652800,628028,734944
406,550798,526822,587541,555097,641577,649479,601269,652144,666131,717888,750179,804634
407,198638,209555,234860,256657,277677,272826,267891,260739,288153,314652,330895,320391
405,160051,165203,194859,205007,205748,199264,240173,226981,234765,228203,243426,257336
408,119694,129831,127739,157044,165475,145202,153902,148700,149457,168724,180047,165958
409,408359,470100,478003,507211,522300,571921,578560,592906,613197,637692,658078,815548
999,305993,316214,324320,316857,340106,366689,415454,426778,485672,514514,500594,530401
379,18858,19149,19230,22600,28120,29957,36499,36755,37355,35105,35759,35755
380,466477,533853,581378,647367,729761,681953,655483,670370,646817,737488,769749,711443
378,17226,21398,20148,23389,22511,23467,25660,25843,24904,26273,30645,30740
377,58196,54567,55664,64655,66894,74791,83799,85517,91114,92011,96202,99982
376,153969,181087,168061,189189,202993,177387,155841,155400,155366,143472,154282,147395
